Start Time UTC,Start Time LST,Source_Name,RA,DEC,Obs_Type,Integration_Time
2024-07-10 09:19:03,05:59:59.999750,J0408-6545,04:08:20.3782,-65:45:09.08,Flux_Cal,300
2024-07-10 09:24:04,06:05:00.999750,3C138,05:21:09.886021,+16:38:22.05122,Pol_Cal,300
2024-07-10 09:29:05,06:10:01.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 09:31:06,06:12:02.999750,MSGPS_S_0217,10:37:24.32,-57:41:32.29,Target,1257
2024-07-10 09:52:04,06:33:00.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 09:54:05,06:35:01.999750,MSGPS_S_0218,10:37:23.04,-57:24:13.77,Target,1257
2024-07-10 10:15:03,06:55:59.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 10:17:04,06:58:00.999750,MSGPS_S_0219,10:39:13.26,-57:15:22.57,Target,1257
2024-07-10 10:38:02,07:18:58.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 10:40:03,07:20:59.999750,MSGPS_S_0220,10:31:38.06,-59:34:01.45,Target,1257
2024-07-10 11:01:01,07:41:57.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 11:03:02,07:43:58.999750,MSGPS_S_0270,10:45:13,-58:49:17.56,Target,1257
2024-07-10 11:24:00,08:04:56.999750,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,120
2024-07-10 11:26:00,08:06:56.999750,3C138,05:21:09.886021,+16:38:22.05122,Pol_Cal,300
2024-07-10 11:31:01,08:11:57.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 11:33:02,08:13:58.999750,MSGPS_S_0376,11:02:26.16,-60:58:55.59,Target,1257
2024-07-10 11:54:00,08:34:56.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 11:56:01,08:36:57.999750,MSGPS_S_0476,11:22:10.91,-61:39:55.94,Target,1257
2024-07-10 12:16:59,08:57:55.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 12:19:00,08:59:56.999750,MSGPS_S_0574,11:43:58.7,-62:43:21.63,Target,1257
2024-07-10 12:39:58,09:20:54.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 12:41:59,09:22:55.999750,MSGPS_S_0673,12:06:19.26,-63:17:06.06,Target,1257
2024-07-10 13:02:57,09:43:53.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 13:04:58,09:45:54.999750,MSGPS_S_0782,12:30:28.77,-63:53:01.84,Target,1257
2024-07-10 13:25:56,10:06:52.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 13:27:57,10:08:53.999750,MSGPS_S_0885,12:54:00.63,-62:58:36.5,Target,1257
2024-07-10 13:48:55,10:29:51.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 13:50:56,10:31:52.999750,MSGPS_S_0936,13:07:13.86,-63:55:28,Target,1257
2024-07-10 14:11:54,10:52:50.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 14:13:54,10:54:50.999750,J0408-6545,04:08:20.3782,-65:45:09.08,Flux_Cal,300
2024-07-10 14:18:56,10:59:52.999750,MSGPS_S_1046,13:33:10.73,-63:36:09.48,Target,1257
2024-07-10 14:39:54,11:20:50.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 14:41:55,11:22:51.999750,MSGPS_S_1167,14:00:45.12,-62:55:26.87,Target,1257
2024-07-10 15:02:53,11:43:49.999750,J1424-4913,14:24:32,-49:13:50,Phase_Cal,120
2024-07-10 15:04:53,11:45:49.999750,J1744-5144,17:44:25,-51:44:44,Phase_Cal,120
2024-07-10 15:06:54,11:47:50.999750,MSGPS_S_1353,14:42:12.01,-61:26:04.86,Target,1257
2024-07-10 15:27:52,12:08:48.999750,J1744-5144,17:44:25,-51:44:44,Phase_Cal,120
2024-07-10 15:29:53,12:10:49.999750,MSGPS_S_1562,15:20:52.45,-58:48:20.36,Target,1257
2024-07-10 15:50:51,12:31:47.999750,J1744-5144,17:44:25,-51:44:44,Phase_Cal,120
2024-07-10 15:52:52,12:33:48.999750,MSGPS_S_1783,15:53:15.17,-55:17:13.27,Target,1257
2024-07-10 16:13:50,12:54:46.999750,J1744-5144,17:44:25,-51:44:44,Phase_Cal,120
2024-07-10 16:15:51,12:56:47.999750,MSGPS_S_1991,16:22:22.75,-51:41:03.04,Target,1257
2024-07-10 16:36:49,13:17:45.999750,J1744-5144,17:44:25,-51:44:44,Phase_Cal,120
2024-07-10 16:38:49,13:19:45.999750,J1733-1304,17:33:03,-13:04:50,Phase_Cal,120
2024-07-10 16:40:50,13:21:46.999750,MSGPS_S_0232,10:33:36.72,-59:25:29.2,Target,1257
2024-07-10 17:01:48,13:42:44.999750,J1733-1304,17:33:03,-13:04:50,Phase_Cal,120
2024-07-10 17:03:49,13:44:45.999750,MSGPS_S_0230,10:41:05.58,-57:23:43.56,Target,1257
2024-07-10 17:24:47,14:05:43.999750,J1733-1304,17:33:03,-13:04:50,Phase_Cal,120
